"BuildingType","DataYear","Buildings","Percentile_25th_EUI","Median_EUI","Percentile_75th_EUI","Median_EUI_WN","Average_Site_EUI","Average_Site_EUI_WN","Median_Source_EUI","Median_ES_Score","Average_ES_Score","Total_GFA","Median_GFA","Median_Year_Built","Average_GHGSF","MedianGHGSF"
"Refrigerated Warehouse","2020","12","28.7","37.8","66.6","37.8","59.8","59.7","97.4","58","48.5","867,298","25,548.5","1955","0.7","0.3"
"Residence Hall/Dormitory","2020","17","26.9","35.7","66.4","38.6","45.6","48.3","75.4","90","78.8","1,174,773","31,040","1981","1.4","1.1"
"Restaurant","2020","7","122.7","150.8","208.4","152.2","170.6","172","287",,,"214,717","31,020","1923","5.4","4.2"
"Retail Store","2020","65","28.1","43.2","61.2","44.9","48.5","49.8","91.2","81","73.3","4,098,480","37,247","1966","1.1","0.7"
"Self-Storage Facility","2020","38","8.6","11.6","21.9","11.8","18","18.6","26.9",,,"2,850,823","64,245","1966.5","0.5","0.2"
"Senior Living Community","2020","43","48.6","65.9","95.1","65.5","73.7","74","138.1","66","64.5","4,868,165","72,805","1992","2.3","1.7"
"Small- and Mid-Sized Office","2020","285","31.4","42.2","59.2","42.6","50.2","51.1","105.2","76","68.9","12,965,664","38,460","1965","0.8","0.4"
"Supermarket/Grocery Store","2020","36","128.5","187.6","290.6","189.6","199.9","202.6","391.8","65","63.2","1,865,563","44,747","1991.5","4.8","4.5"
"Worship Facility","2020","65","21.3","31","40.3","33.9","32.7","34.5","48.7","59","56.6","2,050,559","26,210","1951","1.3","1.1"
"College/University","2019","16","60.4","69.7","83.1","71","79.5","80.5","135.5",,,"3,987,747","59,191.5","1967.5","2.7","2.1"
"Distribution Center","2019","53","16.1","29.9","43.5","29.5","35.4","35.5","65","56","52.5","3,307,591","44,708","1967","0.7","0.5"
"High-Rise Multifamily","2019","118","35.8","44.7","54","45.6","46","46.7","96.6","69","64.3","24,537,967","164,668","1989.5","1.1","0.9"
"Hospital","2019","10","165.7","194","205.2","181","195.2","193.9","355.4","71","64.8","8,333,776","499,356.5","1978","7.1","6.7"
"Hotel","2019","79","60.4","74.5","88.6","75.8","77.8","77.9","141.4","73","69.3","12,490,638","88,591","1982","2.6","2.4"
"K-12 School","2019","135","32","38.7","47.4","39.2","41.5","42.2","71.8","72","66.2","10,743,323","57,298","1970","1.3","1.2"
"Laboratory","2019","15","176.7","255.5","278.2","254.2","250.7","264.4","491.5",,,"1,315,179","60,375","1985","8.8","7.2"
"Large Office","2019","172","41.3","50.4","62.1","50.1","56.3","56.4","128.5","85","79.1","57,104,007","219,998.5","1988","0.7","0.4"
"Low-Rise Multifamily","2019","1,015","25.1","29.7","38","29.9","34.9","35.2","76","84","77.1","40,721,895","29,765","1978","0.7","0.2"
"Medical Office","2019","42","67.6","79.5","101.4","79.5","99.3","101","201.9","49.5","46.6","5,093,285","78,127","1987","2","0.9"
"Mid-Rise Multifamily","2019","668","27.9","33.5","42.9","33.6","38","38.2","77.3","93","84.4","55,168,841","57,015.5","2001","0.8","0.7"
"Mixed Use Property","2019","140","42.5","66.8","116.1","67.8","96","96.9","147","68.5","62.7","15,799,619","53,372","1978.5","2.1","1.4"
"Non-Refrigerated Warehouse","2019","137","17.3","30.9","51","30.8","37.8","38","65.3","47","46.7","7,134,761","39,984","1966","1.1","0.8"
"Other","2019","235","43.6","74.4","113.8","75.7","100.8","102","147.3","82.5","82.9","20,064,566","37,377","1964","2.5","1.7"
"Refrigerated Warehouse","2019","12","31.9","42.1","76.3","41.8","67.3","67","106","38.5","41.6","867,298","25,548.5","1955","0.8","0.4"
"Residence Hall/Dormitory","2019","15","31","53.7","71.9","54.1","53.3","53.9","96","77","71.4","1,034,855","31,040","1950","1.7","1.8"
"Restaurant","2019","9","132.7","157.8","259.8","157.5","211.4","211.6","314.4",,,"266,236","28,800","1923","7.2","5.9"
"Retail Store","2019","71","35.7","51","76.5","51.2","61.1","62.2","112","67","58.8","4,590,209","43,794","1966","1.3","0.8"
"Self-Storage Facility","2019","38","9","13.1","25.5","13.7","20.9","21.3","29.4",,,"2,603,604","56,984","1966.5","0.5","0.2"
"Senior Living Community","2019","45","46.7","65.9","91.6","66.4","76.3","76.3","137.9","71","64.1","5,007,098","69,035","1989","2.5","2"
"Small- and Mid-Sized Office","2019","286","37.8","50.4","66.9","51","58.1","58.4","125.4","70","63.1","12,857,070","38,262","1967","0.9","0.5"
"Supermarket/Grocery Store","2019","36","148.9","222.1","309.4","223.7","227.1","227.9","448.1","60","57.5","1,869,529","44,747","1991.5","5.5","5.2"
"Worship Facility","2019","65","26.9","37.7","47.8","38.6","39.2","39.8","61.7","47.5","48.3","2,043,786","26,210","1951","1.5","1.3"
"College/University","2018","15","65.3","71.8","89.7","73.9","84.1","86.8","147.3",,,"3,930,414","61,050","1965","2.9","1.8"
"Distribution Center","2018","53","15.2","24","37.2","25","32.9","33.7","53.5","54.5","52.1","3,313,916","44,708","1967","0.6","0.6"
"High-Rise Multifamily","2018","112","36.5","45.9","56.8","46.3","48.2","49.3","102.3","65.5","62.4","21,964,885","159,543.5","1983.5","1.2","1"
"Hospital","2018","10","169.7","204.7","232.7","200.1","206.3","207.1","385.4","67","63.1","8,333,776","499,356.5","1978","7.1","6.8"
"Hotel","2018","76","60.5","74.7","92.3","76.2","81.1","81.8","146.9","71","66.8","11,120,227","88,468","1980","2.7","2.4"
"K-12 School","2018","130","30.2","36.6","45.8","38.1","40.1","41.9","70.1","73","67.2","10,169,218","56,638","1964","1.2","1.1"
"Laboratory","2018","13","167.5","245.1","321.7","246.3","267","269.8","522","2","2","1,100,215","60,375","1980","8.6","6.4"
"Large Office","2018","166","42.6","52.2","63.4","52.9","59.1","60.3","136","82","78","54,285,001","219,998.5","1988","0.7","0.4"
"Low-Rise Multifamily","2018","998","24.9","29.6","37.9","30.3","34.6","35.7","75.6","82","76.2","39,879,384","29,588","1978","0.7","0.2"
"Medical Office","2018","41","64.1","77.9","94.4","77.5","83.1","83.6","197.2","59","50.3","5,153,231","69,854","1987","1.5","0.8"
"Mid-Rise Multifamily","2018","633","27.3","33.8","43.4","34.3","38","38.6","78","93","83.9","50,571,118","56,144","2000","0.8","0.6"
"Mixed Use Property","2018","142","38.4","66.1","114.8","66.7","92.2","93.3","148.6","64","57.7","14,823,886","51,101.5","1974","2.1","1.1"
"Non-Refrigerated Warehouse","2018","144","15.8","28.8","48.5","29.9","35.6","37","61","47.5","47.3","8,013,614","39,912","1966","1","0.6"
"Other","2018","231","47","77.5","120.6","79.6","108.2","109.9","147.5","65.5","66.4","20,338,482","38,787","1966","2.7","1.6"
"Refrigerated Warehouse","2018","12","31.5","47.6","93.4","48.1","73","72.6","108.9","47.5","39.8","867,298","25,548.5","1955","0.8","0.4"
"Residence Hall/Dormitory","2018","16","33.6","63.9","74.3","65.4","58.5","60.1","102.8","69","65.2","948,368","29,440","1940","1.9","2"
"Restaurant","2018","10","47.4","155.8","247","158.1","187.8","189.3","319.9",,,"306,922","29,910","1921","6.3","4.9"
"Retail Store","2018","74","37.6","54.2","80","54.7","62.2","63","116.1","68","57","5,242,110","46,827.5","1964.5","1.2","0.7"
"Self-Storage Facility","2018","36","9.4","13.6","21.6","14.1","18.4","19.1","26.7",,,"2,418,108","56,984","1963","0.5","0.2"
"Senior Living Community","2018","43","45.2","65.6","92.8","66.8","74.8","76.3","138.9","76","66.4","4,827,279","72,805","1988","2.5","1.9"
"Small- and Mid-Sized Office","2018","286","37.8","50.2","68.8","51.2","58.6","59.4","126.9","67","61.5","12,730,221","37,806.5","1965.5","0.9","0.5"
"Supermarket/Grocery Store","2018","34","178.9","242.1","313.2","245.3","240.6","243.1","515.1","57.5","55.5","1,716,149","44,747","1991.5","5.8","5.4"
"Worship Facility","2018","67","25.8","34","44.4","36","35.6","37.5","57.2","52","51.1","2,099,669","26,210","1951","1.4","1.2"
"College/University","2017","16","66.1","74.2","101.7","72.8","92.9","92.2","169.5",,,"19,437,571","112,367","1960.5","3.1","1.9"
"Distribution Center","2017","47","19.3","34.4","46.4","32.7","38.8","38","67.2","51","46.4","3,031,171","42,900","1966","0.8","0.6"
"High-Rise Multifamily","2017","107","40.4","49.9","62.3","49.4","52.9","52.1","114.2","56.5","55.1","20,231,003","146,914","1982","1.3","1"
"Hospital","2017","12","165.2","208.8","232.9","205.7","197.2","192.6","417.8","62","57.6","8,581,484","387,830","1978","6.8","6.6"
"Hotel","2017","72","66.3","81.5","98","82","86.2","85.9","163","65","61.9","10,672,958","88,267","1979.5","2.9","2.6"
"K-12 School","2017","129","35.1","40.8","51.7","40.2","45.5","44.6","82.3","76","69.2","10,107,155","56,228","1968","1.4","1.2"
"Laboratory","2017","9","220.2","307.8","342.8","300.5","320.7","317.1","575.7",,,"772,969","60,375","1963","10.5","9.4"
"Large Office","2017","159","45.8","54.9","67.5","54.3","64.5","64.3","142.6","80","74.2","50,822,435","212,533","1985","0.8","0.5"
"Low-Rise Multifamily","2017","987","26","30.8","39.9","30.4","36.1","35.7","84.9","81","74.8","39,380,064","29,513","1978","0.7","0.2"
"Medical Office","2017","42","71.3","86.8","106.1","87.5","93","92.4","248.9","47","43.2","5,192,347","79,439.5","1986.5","1.6","0.9"
"Mid-Rise Multifamily","2017","600","28.6","34.7","46.2","34.2","40.2","39.8","87.6","91","81.1","46,972,813","54,466","2000","0.9","0.7"
"Mixed Use Property","2017","124","39","56.8","98.5","55.6","83.9","83","135.4","77","69.3","11,247,424","43,991","1968","2.2","1.2"
"Non-Refrigerated Warehouse","2017","155","17.5","31.2","54.5","30.5","39.1","38.2","75.6","47","46.2","8,974,801","39,840","1965","1","0.7"
"Other","2017","223","46.6","85.2","132","83.7","112.6","111.3","178.4","63","57.1","20,969,076","39,017","1965","2.9","1.8"
